"","Cantón","Poblacion de 15 años y mas","Tasa neta de participacón","Tasa de ocupación","Tasa de desempleo abierto","Porcentaje de población economicamente inactiva","relación de dependencia económica","Sector primario","Sector secundario","Sector terciario","Total hogares","Hogares pobres","Porcentaje de hogares pobres","Grupo clasificado","Población","Nacimientos","Tasa bruta de natalidad","Defunciones","Tasa bruta de mortalidad","muertes_infantiles","Tasa de mortalidad infantil","provincia"
"1","SAN JOSÉ",225856,56.7082565882686,54.477189005384,3.93429055504806,43.2917434117314,1.2490337994519,0.653446033810143,18.9060468140442,80.4405071521456,84066,11659.8155,4.35364775353684,1,322155,5358,16.63174559,1805,5.602893017,50,9.33,"San José"
"2","ESCAZÚ",44797,60.7094225059714,58.8655490323013,3.03721135461097,39.2905774940286,1.07784232975438,2.54835039817975,16.7159651118696,80.7356844899507,16839,1729.2626,0.645687766994707,1,63738,980,15.37544322,277,4.345916094,5,5.1,"San José"
"3","DESAMPARADOS",159292,56.9890515531226,54.706451045878,4.0053316295619,43.0109484468774,1.2958062988136,2.21475046762218,19.5701318522429,78.2151176801349,58608,9248.3424,3.45323003727627,1,222808,3369,15.12064199,980,4.398405802,35,10.39,"San José"
"4","PURISCAL",25774,50.6595794211221,49.1037479630636,3.07114957494064,49.3404205788779,1.52768629853718,15.7869785082174,14.4200379266751,69.7929835651075,9891,2191.8456,0.818411206638699,2,34485,416,12.06321589,172,4.987675801,3,7.21,"San José"
"5","TARRAZÚ",11800,51.1610169491525,49.7372881355932,2.78283915852245,48.8389830508475,1.69670366075865,41.2165615948202,10.3935934571477,48.389844948032,4632,1088.9832,0.406614432477028,2,17156,350,20.40102588,69,4.021916531,1,2.86,"San José"
"6","ASERRÍ",43396,54.4566319476449,52.6868835837404,3.2498307379824,45.5433680523551,1.44972918077183,7.2778166550035,18.964310706788,73.7578726382085,16348,3303.9308,1.23365167358447,2,58085,867,14.92640096,248,4.269604889,2,2.31,"San José"
"7","MORA",20414,55.2170079357304,53.4339178994808,3.22924059616749,44.7829920642696,1.33268275372605,8.25999266593326,16.0982764943161,75.6417308397506,7873,1314.791,0.490928598614657,1,27751,367,13.22474866,131,4.720550611,4,10.9,"San José"
"8","GOICOECHEA",90537,56.7933552028452,54.6980792383224,3.68929773041094,43.2066447971548,1.23816099107334,1.03590323492589,16.6733976818384,82.2906990832358,33351,4388.9916,1.63880152474386,1,126776,1747,13.78021077,650,5.127153404,20,11.45,"San José"
"9","SANTA ANA",38096,61.7755144897102,60.3632927341453,2.28605421942721,38.2244855102898,1.08732047250786,3.15707079492086,17.6682901374152,79.1746390676639,14467,1440.714,0.537946871422543,1,53189,777,14.60828367,177,3.327755739,10,12.87,"San José"
"10","ALAJUELITA",56704,56.0172121896163,53.8974322799097,3.78415816647777,43.9827878103837,1.44311169877849,0.772200772200772,22.599960735554,76.6278384922453,20471,4190.4137,1.56465470584805,2,82322,1260,15.30575059,310,3.765700542,11,8.76,"San José"
"11","VÁZQUEZ DE CORONADO",47697,58.3978027968216,56.6199132020882,3.04444604006606,41.6021972031784,1.17153730164429,2.14396800710953,16.1371547063615,81.7188772865289,17381,2052.6961,0.766454303197064,1,64628,959,14.83876957,275,4.255121619,12,12.51,"San José"
"12","ACOSTA",15270,49.5612311722331,48.5396201702685,2.06131078224101,50.4387688277669,1.67032241014799,30.4776038855909,10.5099838100378,59.0124123043713,5939,1594.6215,0.59541425087014,2,20286,268,13.21108153,91,4.485852312,4,14.92,"San José"
"13","TIBÁS",52194,56.0313445989961,54.0541058359198,3.52880834330655,43.968655401004,1.21719952128569,0.829404884273207,17.0807783645837,82.0898167511431,19563,2243.8761,0.837838827036328,1,78506,1091,13.89702698,396,5.044200443,13,11.92,"San José"
"14","MORAVIA",45444,58.67661297421,56.8259836282017,3.15394712169511,41.32338702579,1.13459591224452,1.77354399008674,16.1129182156134,82.1135377942999,17148,1670.2152,0.623640112779064,1,58704,676,11.51539929,267,4.548242028,8,11.83,"San José"
"15","MONTES DE OCA",41561,58.7690382810808,57.0655181540386,2.89866939611054,41.2309617189192,1.01154554759468,1.17215499430788,12.3497912889489,86.4780537167433,17188,1091.3745,0.407507317778089,1,60017,675,11.2468134,290,4.831964277,3,4.44,"San José"
"16","TURRUBARES",4133,48.1732397774014,46.3101863053472,3.86740331491713,51.8267602225986,1.76845806127574,33.0198537095089,12.8526645768025,54.1274817136886,1705,540.9965,0.202002184073692,3,6066,70,11.53972964,27,4.451038576,NA,NA,"San José"
"17","DOTA",5164,51.2199845081332,50.2904725019365,1.81474480151229,48.7800154918668,1.62684310018904,45.4370427416249,10.3966114747786,44.1663457835965,1988,414.2992,0.154694796103087,2,7391,104,14.07116764,20,2.705993776,1,9.61,"San José"
"18","CURRIDABAT",51916,58.8508359657909,57.082594961091,3.00461493143063,41.1491640342091,1.13419304159984,1.3700016871942,17.435464822001,81.1945334908048,19510,2190.973,0.81808538732966,1,73288,1020,13.91769457,237,3.233817269,11,10.78,"San José"
"19","PERÉZ ZELEDÓN",98186,48.0251767054366,46.3925610575846,3.3994995122365,51.9748232945634,1.85307715146117,26.5943667537485,13.2137604004303,60.1918728458212,38881,13076.39,4.88258119932271,3,139264,2322,16.67336857,557,3.999597886,21,9.04,"San José"
"20","LEÓN CORTÉS",9084,47.1708498458829,46.0259797446059,2.42707117852976,52.8291501541171,1.84714119019837,51.6144463047118,11.0021525950729,37.3834011002153,3431,944.8974,0.352814368532058,3,12469,178,14.275403,46,3.68914909,3,16.85,"San José"
"21","ALAJUELA",632572,52.8866279253587,51.2738470877623,3.04950589754473,47.1133720746413,1.5352148882366,17.3402313592975,21.1133857879289,61.5463828527736,73368,12311.1504,4.59684909100098,1,276794,4308,15.56392118,1123,4.057168869,35,8.12,"Alajuela"
"22","SAN RAMÓN",61084,51.0477375417458,49.5481631851221,2.93759220062857,48.9522624582542,1.58373420563145,16.863807572854,17.7889380823366,65.3472543448094,23747,5160.0058,1.92668980563261,2,83939,1258,14.98707395,339,4.038647113,10,7.95,"Alajuela"
"23","GRECIA",58182,53.7674882265993,52.2292117837132,2.86097880638046,46.2325117734007,1.45814020394463,15.8878504672897,25.3389495853626,58.7731999473476,22221,4339.7613,1.62041946844108,2,82489,1244,15.08079865,289,3.503497436,6,4.82,"Alajuela"
"24","SAN MATEO",4719,44.7340538249629,43.7380801017165,2.22643297015632,55.2659461750371,1.90667929891047,31.9282945736434,10.1744186046512,57.8972868217054,1857,489.904,0.182924802630772,2,6470,60,9.273570325,28,4.327666151,NA,NA,"Alajuela"
"25","ATENAS",20006,50.73977806658,49.6601019694092,2.12786917545069,49.26022193342,1.50812727810068,12.8032209360845,20.0603925515853,67.1363865123301,7631,1404.104,0.524277097294729,2,26420,316,11.96063588,147,5.563966692,5,15.82,"Alajuela"
"26","NARANJO",32302,50.7429880502755,49.3498854560089,2.74540906595083,49.2570119497245,1.60588127631017,17.1507433661627,25.2995420613512,57.549714572486,11958,2805.3468,1.04748585376087,2,43797,621,14.17905336,184,4.201200996,3,4.83,"Alajuela"
"27","PALMARES",27032,51.7497780408405,50.1146788990826,3.15962541997284,48.2502219591595,1.48166416470084,9.44858640289363,23.7986270022883,66.752786594818,9800,1848.28,0.690127564188907,2,36379,481,13.22191374,158,4.343165013,4,8.32,"Alajuela"
"28","POÁS",21926,53.1469488278756,51.2450971449421,3.57847764524157,46.8530511721244,1.50570668497383,16.9455322178711,24.3325026699893,58.7219651121396,8078,1745.6558,0.651808808820221,2,29693,463,15.59290068,112,3.771932779,2,4.32,"Alajuela"
"29","OROTINA",15137,48.2129880425448,46.8917222699346,2.74047684297068,51.7870119574552,1.78720197314333,9.86193293885602,15.6241194702733,74.5139475908707,6121,1548.656,0.578251235227637,2,20738,364,17.55231941,91,4.388079853,NA,NA,"Alajuela"
"30","SAN CARLOS",116816,54.1715176003287,52.6742911929873,2.76386277081588,45.8284823996713,1.5875855312021,26.0742377949685,14.8865630891244,59.0391991159072,45958,11696.8332,4.36746975839155,2,172023,3433,19.95663371,509,2.958906658,30,8.74,"Alajuela"
"31","ALFARO RUIZ",9249,54.8167369445345,54.3193858795546,0.907297830374753,45.1832630554655,1.40729783037475,39.609872611465,15.7444267515924,44.6457006369427,3417,627.0195,0.234122232688741,2,12846,217,16.89241787,45,3.503035965,2,9.22,"Alajuela"
"32","VALVERDE VEGA",13645,50.7658482960791,49.1975082447783,3.08936047350946,49.2341517039209,1.61079832539339,17.0564576195442,26.2475793237003,56.6959630567556,5129,1165.8217,0.435305089109643,2,19936,261,13.09189406,54,2.708667737,2,7.66,"Alajuela"
